,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
0,10093,"Abakanowicz, Magdalena",Female,born 1930,1930.0,,Polska,,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
1,0,"Abbey, Edwin Austin",Male,1852–1911,1852.0,1911.0,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
2,2756,"Abbott, Berenice",Female,1898–1991,1898.0,1991.0,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
3,1,"Abbott, Lemuel Francis",Male,1760–1803,1760.0,1803.0,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
4,622,"Abrahams, Ivor",Male,born 1935,1935.0,,"Wigan, United Kingdom",,http://www.tate.org.uk/art/artists/ivor-abrahams-622
5,2606,Absalon,Male,1964–1993,1964.0,1993.0,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
6,9550,"Abts, Tomma",Female,born 1967,1967.0,,"Kiel, Deutschland",,http://www.tate.org.uk/art/artists/tomma-abts-9550
7,623,"Acconci, Vito",Male,born 1940,1940.0,,"New York, United States",,http://www.tate.org.uk/art/artists/vito-acconci-623
8,624,"Ackling, Roger",Male,1947–2014,1947.0,2014.0,"Isleworth, United Kingdom",,http://www.tate.org.uk/art/artists/roger-ackling-624
9,625,"Ackroyd, Norman",Male,born 1938,1938.0,,"Leeds, United Kingdom",,http://www.tate.org.uk/art/artists/norman-ackroyd-625
10,2411,"Adam, Robert",Male,1728–1792,1728.0,1792.0,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
11,626,"Adams, Harry William",Male,1868–1947,1868.0,1947.0,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
12,627,"Adams, Norman",Male,1927–2005,1927.0,2005.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/norman-adams-627
13,628,"Adams, Robert",Male,1917–1984,1917.0,1984.0,"Northampton, United Kingdom",,http://www.tate.org.uk/art/artists/robert-adams-628
14,629,"Adeney, Bernard",Male,1878–1966,1878.0,1966.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/bernard-adeney-629
15,630,"Adler, Jankel",Male,1895–1949,1895.0,1949.0,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
16,2608,"Adshead, Mary",Female,1904–1995,1904.0,1995.0,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
17,631,"Adzak, Roy",Male,1927–1987,1927.0,1987.0,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
18,632,Afro,Male,1912–1976,1912.0,1976.0,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
19,633,"Agar, Eileen",Female,1899–1991,1899.0,1991.0,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
20,2,"Agasse, Jacques Laurent",Male,1767–1849,1767.0,1849.0,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
21,3098,"Ahtila, Eija-Liisa",Female,born 1959,1959.0,,"Hämeenlinna, Suomi",,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
22,8208,"Ai, Weiwei",Male,born 1957,1957.0,,"Beijing, Zhonghua",,http://www.tate.org.uk/art/artists/ai-weiwei-8208
23,634,"Aitchison, Craigie",Male,1926–2009,1926.0,2009.0,"Edinburgh, United Kingdom",,http://www.tate.org.uk/art/artists/craigie-aitchison-634
24,635,"Ajmone, Giuseppe",Male,1923–2005,1923.0,2005.0,"Carpignano Sesia, Italia",,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
25,14744,"Aksel, Erdag",Male,born 1953,1953.0,,"Izmir, Türkiye",,http://www.tate.org.uk/art/artists/erdag-aksel-14744
26,7794,"Al-Ani, Jananne",Female,born 1966,1966.0,,"Kirkuk, Al-‘Iraq",,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
27,3067,"Albers, Anni",Female,1899–1994,1899.0,1994.0,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
28,636,"Albers, Josef",Male,1888–1976,1888.0,1976.0,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
29,637,"Albright, Ivan",Male,1897–1983,1897.0,1983.0,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
30,638,"Aldridge, John",Male,1905–1983,1905.0,1983.0,"Greenwich, United Kingdom",,http://www.tate.org.uk/art/artists/john-aldridge-638
31,639,"Alechinsky, Pierre",Male,born 1927,1927.0,,"Bruxelles, België",,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
32,640,"Alexander, Edwin",Male,1870–1926,1870.0,1926.0,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
33,2470,"Alexander, William",Male,1767–1816,1767.0,1816.0,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
34,11315,"Alimpiev, Victor",Male,born 1973,1973.0,,"Moskva, Rossiya",,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
35,2472,Alken Family,Male,1756 –1894,1756.0,1894.0,,,http://www.tate.org.uk/art/artists/alken-family-2472
36,3,"Alken, Henry Thomas",Male,1785–1851,1785.0,1851.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
37,2471,"Alken, Samuel, Senior",Male,1756–1815,1756.0,1815.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
38,2473,"Allan, David",Male,1744–1796,1744.0,1796.0,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
39,641,"Allan, Julian Phelps",Female,1892–1996,1892.0,1996.0,"Southampton, United Kingdom",,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
